gid,topic,date,appid
5125698536876840979,0,1679516254,216150
5036749277227990216,0,1675912724,216150
4224939245932393534,1,1641352419,216150
2416665403785907525,0,1566869492,216150
3819571572130126079,0,1473295959,216150
3819571572130126338,0,1468437443,216150
3819571572130126402,0,1466619547,216150
3819571572130126476,0,1463603631,216150
3819571572130126539,0,1460051476,216150
3819571572130126603,0,1457724373,216150
3819571572130126802,0,1450725495,216150
3819571572130126950,0,1444411800,216150
5220292521179574866,2,1696485937,766570
5124582150126044083,2,1687932195,766570
5140340943317513330,2,1684707258,766570
5138087875080813921,2,1683237759,766570
5133583099812582823,2,1682402615,766570
6539831519502661968,2,1681797787,766570
3183419193845166933,1,1582025420,766570
2582187916849584550,1,1581336892,766570
3690071589858139737,2,1579588576,766570
2592316573863913884,2,1577156982,766570
2610330338693184773,2,1576037710,766570
2587811707183926308,1,1575985312,766570
2551782186275265546,2,1575344750,766570
2551782186273298775,1,1575297728,766570
2448197582014712277,1,1573029439,766570
2451574645873715513,1,1572904234,766570
2406534841141732390,1,1569225971,766570
2406534841124877851,1,1568822986,766570
3658535001294373283,1,1568365709,766570
2413289226969899901,2,1568044265,766570
2413288973188938253,1,1567692287,766570
3364670677195476647,1,1564469348,766570
3364670677192989074,1,1564409871,766570
2408777766643397692,2,1560576005,766570
2905297189262309344,1,1558365800,766570
2905297189253321362,0,1558150899,766570
2465065785292984083,2,1553659456,766570
2416641943170860164,2,1544069052,766570
3788045105528674164,0,1598650125,1046930
3670950880878899040,0,1597945078,1046930
3978319116851701078,0,1595879109,1046930
3444640809402514479,0,1593821388,1046930
3112496281293308616,0,1590113527,1046930
2579938650920469037,0,1583343110,1046930
2578812118958257270,0,1582941557,1046930
2582187916851667254,0,1581386688,1046930
2582187916836098262,0,1581014427,1046930
2609208878399496656,0,1580849272,1046930
2609208878396537936,0,1580778532,1046930
3690071589846295005,0,1579305361,1046930
2592316573914306149,0,1578361898,1046930
2592316573881485106,0,1577577117,1046930
2592316573863448669,0,1577145858,1046930
2592316573849299785,0,1576807581,1046930
2592316573844633127,0,1576696027,1046930
2551782186274569922,0,1575328117,1046930
2551782186255934743,0,1574882582,1046930
2468465044718691379,0,1574398358,1046930
2448197582024129379,0,1573254585,1046930
2451574645863410994,0,1572657846,1046930
2451574645859749486,0,1572570309,1046930
2451574645852420687,0,1572395104,1046930
2504491307413418272,0,1572158572,1046930
2504491307409530782,0,1572065618,1046930
2504491307409126999,0,1572055964,1046930
2504491307408478730,0,1572040463,1046930
2504491307408053491,0,1572030297,1046930
2504491307405558591,0,1571970650,1046930
2504491307404980902,0,1571956837,1046930
2504491307404377261,0,1571942405,1046930
3051677487677308879,0,1570765580,1046930
3658535001293340107,0,1568341007,1046930
2415540140472117087,0,1567462652,1046930
2415540140465541879,0,1567305440,1046930
2416665403781225040,0,1566757536,1046930
3556075649724639320,0,1566002239,1046930
3556075649721898010,0,1565936702,1046930
3556075649721055789,0,1565916565,1046930
2412159905931312241,0,1564794676,1046930
2413285168841056129,0,1563992342,1046930
2413284533097703604,0,1563583909,1046930
2413284533090631138,0,1563414822,1046930
2436927798953540618,0,1562972908,1046930
2436926440593179996,0,1562269383,1046930
2436926440592765944,0,1562259483,1046930
2436926440568233244,0,1561672929,1046930
2436926440564623897,0,1561586635,1046930
2436926440564425836,0,1561581899,1046930
2436926440564425309,0,1561581887,1046930
2436926440564425142,0,1561581883,1046930
2436926440564424936,0,1561581878,1046930
